"logno","name","message","ip","color","user_option","serv_option","logtime"
"1812003094","221.113.161.254","EXIT_P:No35 ET","NOTIFY","",,,"2018/06/17 14:50:27"
"1812013330","66.249.82.143","ENTER:HK161","NOTIFY","",,,"2018/06/17 16:08:44"
"1812013772","221.113.161.254","ENTER:No35 ET","NOTIFY","",,,"2018/06/17 16:11:49"
"1812018238","66.249.82.143","EXIT_P:HK161","NOTIFY","",,,"2018/06/17 16:43:01"
"1812023844","221.113.161.254","EXIT_P:No35 ET","NOTIFY","",,,"2018/06/17 17:18:31"
"1812032182","66.249.82.79","ENTER:HK161","NOTIFY","",,,"2018/06/17 18:14:17"
"1812033396","182.158.132.102","ENTER:えり","NOTIFY","",,,"2018/06/17 18:23:08"
"1812033514","えり","浜松町の和の家です！","182.158.132.102","","","openid=4OStvR3TKrD0oYUHd9ra1EqGkBneDXdx&","2018/06/17 18:23:59"
"1812034050","182.158.132.102","EXIT_P:えり","NOTIFY","",,,"2018/06/17 18:28:02"
"1812038059","221.113.161.254","ENTER:No35 ET","NOTIFY","",,,"2018/06/17 18:58:43"
"1812038107","No35 ET","ありがとうございます","221.113.161.254","#000000","bold=false&italic=false&strike=false&size=normal&kanappsIcon=9l4x1620aqio880i.jpg","openid=j9U2CXH7JAuEHxmP05L7UA8HlyieLC5i&","2018/06/17 18:59:02"
"1812045184","182.158.132.102","ENTER:No.34 eri","NOTIFY","",,,"2018/06/17 19:50:15"
"1812046268","182.158.132.102","EXIT_P:No.34 eri","NOTIFY","",,,"2018/06/17 19:57:14"
"1812048158","221.113.161.254","EXIT_P:No35 ET","NOTIFY","",,,"2018/06/17 20:07:47"
"1812049109","182.158.132.102","ENTER:No34 E.H","NOTIFY","",,,"2018/06/17 20:13:05"
"1812049624","No34 E.H","とりあえず何ができて何ができないのか、先生に聞いてみたいと思います。","182.158.132.102","#000000","bold=false&italic=false&strike=false&size=normal","openid=vn4yZaq3WtU5opM94M7otuny9OVgtvRh&","2018/06/17 20:15:26"
"1812051313","221.113.161.254","ENTER:No35 ET","NOTIFY","",,,"2018/06/17 20:23:35"
"1812053430","HK161","りょ","66.249.82.66","#000000","bold=false&italic=false&strike=false&size=normal","openid=Q25aH77uvyX1n4DD795iRfjgcATYBawG&","2018/06/17 20:32:43"
"1812053537","HK161","ちなみにつけっぱで放置かましてましたw","66.249.82.64","#000000","bold=false&italic=false&strike=false&size=normal","openid=Q25aH77uvyX1n4DD795iRfjgcATYBawG&","2018/06/17 20:33:13"
"1812054680","66.249.82.64","EXIT_P:HK161","NOTIFY","",,,"2018/06/17 20:38:14"
"1812054801","182.158.132.102","EXIT:No34 E.H","NOTIFY","",,,"2018/06/17 20:38:48"
"1812059411","131.213.43.233","ENTER:マロン","NOTIFY","",,,"2018/06/17 20:55:51"
"1812059750","No35 ET","あ","221.113.161.254","#000000","bold=false&italic=false&strike=false&size=normal&kanappsIcon=9l4x1620aqio880i.jpg","openid=hSC14HAPbHfgfuqJrR4mywwYT5YmxkqC&","2018/06/17 20:56:58"
"1812059792","131.213.43.233","EXIT:マロン","NOTIFY","",,,"2018/06/17 20:57:07"
"1812062138","221.113.161.254","EXIT_P:No35 ET","NOTIFY","",,,"2018/06/17 21:04:05"
"1812062185","221.113.161.254","ENTER:No35 ET","NOTIFY","",,,"2018/06/17 21:04:15"
"1812065818","221.113.161.254","EXIT_P:No35 ET","NOTIFY","",,,"2018/06/17 21:14:39"
"1812071317","221.113.161.254","ENTER:No35 ET","NOTIFY","",,,"2018/06/17 21:30:14"
"1812071375","131.213.43.233","ENTER:マロン","NOTIFY","",,,"2018/06/17 21:30:24"
"1812071443","131.213.43.233","EXIT:マロン","NOTIFY","",,,"2018/06/17 21:30:35"
"1812071728","131.213.43.233","ENTER:No.33 AN","NOTIFY","",,,"2018/06/17 21:31:14"
"1812071875","No.33 AN","マロン=私です","131.213.43.233","","","openid=fRKUNI4gfZdHxtQLH8gQCDVpzVQ2KPmD&","2018/06/17 21:31:40"
"1812072077","131.213.43.233","EXIT:No.33 AN","NOTIFY","",,,"2018/06/17 21:32:10"
"1812073689","221.113.161.254","EXIT_P:No35 ET","NOTIFY","",,,"2018/06/17 21:36:29"
"1812077280","221.113.161.254","ENTER:No35 ET","NOTIFY","",,,"2018/06/17 21:45:19"
"1812081948","182.158.132.102","ENTER:No34 E.H","NOTIFY","",,,"2018/06/17 21:55:13"
"1812082313","182.158.132.102","EXIT:No34 E.H","NOTIFY","",,,"2018/06/17 21:56:04"
"1812091969","221.113.161.254","EXIT_P:No35 ET","NOTIFY","",,,"2018/06/17 22:14:39"
"1812117336","221.113.161.254","ENTER:No35 ET","NOTIFY","",,,"2018/06/17 23:00:01"
"1812128184","221.113.161.254","EXIT_P:No35 ET","NOTIFY","",,,"2018/06/17 23:24:40"
"1812131716","221.113.161.254","ENTER:No35 ET","NOTIFY","",,,"2018/06/17 23:32:40"
"1812135885","221.113.161.254","EXIT_P:No35 ET","NOTIFY","",,,"2018/06/17 23:42:08"
"1812226982","221.113.161.254","ENTER:No35 ET","NOTIFY","",,,"2018/06/18 18:34:03"
"1812228580","113.156.104.161","ENTER:18","NOTIFY","",,,"2018/06/18 19:01:05"
"1812228777","18","みなさん！名前を出席番号にしましょう！誰が誰だか分からないです笑","113.156.104.161","#000000","bold=false&italic=false&strike=false&size=normal","openid=lMsKynZBVSFd4JS0azy6p8gMMDv7oZ4J&","2018/06/18 19:03:45"
"1812229045","221.113.161.254","EXIT_P:No35 ET","NOTIFY","",,,"2018/06/18 19:06:46"
"1812229333","18","あと、これ一人一人が別々に入っているからなんか話し合いというより問題の提案の仕合いというか…(悪いといっているわけじゃないです全然！)","113.156.104.161","#000000","bold=false&italic=false&strike=false&size=normal","openid=lMsKynZBVSFd4JS0azy6p8gMMDv7oZ4J&","2018/06/18 19:09:49"
"1812229434","18","難しいと思うけど、みんな自由な時間にみんなが集まれたらいいですよね…","113.156.104.161","#000000","bold=false&italic=false&strike=false&size=normal","openid=lMsKynZBVSFd4JS0azy6p8gMMDv7oZ4J&","2018/06/18 19:10:46"
"1812229513","18","○○時から！とかじゃなくて、○時～○時の間に話し合うからぜひ参加してね！","113.156.104.161","#000000","bold=false&italic=false&strike=false&size=normal","openid=lMsKynZBVSFd4JS0azy6p8gMMDv7oZ4J&","2018/06/18 19:11:41"
"1812229600","18","みたいな感じにできたらいいですね…だれもいなくてそれで入隊室しているのは悲しいです…","113.156.104.161","#000000","bold=false&italic=false&strike=false&size=normal","openid=lMsKynZBVSFd4JS0azy6p8gMMDv7oZ4J&","2018/06/18 19:12:37"
"1812229636","18","あ、入退室","113.156.104.161","#000000","bold=false&italic=false&strike=false&size=normal","openid=lMsKynZBVSFd4JS0azy6p8gMMDv7oZ4J&","2018/06/18 19:13:02"
"1812229767","18","みなさんいつ開いてますか？","113.156.104.161","#000000","bold=false&italic=false&strike=false&size=normal","openid=lMsKynZBVSFd4JS0azy6p8gMMDv7oZ4J&","2018/06/18 19:14:36"
"1812229844","113.156.104.161","EXIT:18","NOTIFY","",,,"2018/06/18 19:15:26"
"1812231018","66.249.82.79","ENTER:HK161","NOTIFY","",,,"2018/06/18 19:28:35"
"1812231062","HK161","あいよー","66.249.82.159","#000000","bold=false&italic=false&strike=false&size=normal","openid=WyoFoPUVtxGRA89RN5waHdRTrMoX4h2Y&","2018/06/18 19:29:01"
"1812231144","HK161","ただしそれでも無理なことかあるので要相談で","66.249.82.79","#000000","bold=false&italic=false&strike=false&size=normal","openid=WyoFoPUVtxGRA89RN5waHdRTrMoX4h2Y&","2018/06/18 19:29:48"
"1812232475","221.113.161.254","ENTER:No35 ET","NOTIFY","",,,"2018/06/18 19:43:08"
"1812232612","No35 ET","あっ僕は7時半までぐらいか、10時ぐらいからですね","221.113.161.254","#000000","bold=false&italic=false&strike=false&size=normal&kanappsIcon=9l4x1620aqio880i.jpg","openid=ttnvWPI6W07GWhBNF8O0w4QPXAdgNOBX&","2018/06/18 19:44:13"
"1812232629","No35 ET","これるのは。","221.113.161.254","#000000","bold=false&italic=false&strike=false&size=normal&kanappsIcon=9l4x1620aqio880i.jpg","openid=ttnvWPI6W07GWhBNF8O0w4QPXAdgNOBX&","2018/06/18 19:44:19"
"1812233382","221.113.161.254","EXIT_P:No35 ET","NOTIFY","",,,"2018/06/18 19:50:49"
"1812233968","221.113.161.254","ENTER:No35 ET","NOTIFY","",,,"2018/06/18 19:55:51"
"1812234780","221.113.161.254","EXIT_P:No35 ET","NOTIFY","",,,"2018/06/18 20:01:30"
"1812237676","66.249.82.79","EXIT_P:HK161","NOTIFY","",,,"2018/06/18 20:20:43"
"1812238894","180.50.174.42","ENTER:Omiya","NOTIFY","",,,"2018/06/18 20:27:56"
"1812239387","180.50.174.42","EXIT:Omiya","NOTIFY","",,,"2018/06/18 20:30:47"
"1812239485","180.50.174.42","ENTER:08 Omiya","NOTIFY","",,,"2018/06/18 20:31:14"
"1812239879","131.213.43.233","ENTER:No.33 AN","NOTIFY","",,,"2018/06/18 20:33:30"
"1812239887","08 Omiya","僕は9時から10時半までです。","180.50.174.42","#000000","bold=false&italic=false&strike=false&size=normal","openid=hQoAJpTfsPgdzPpfJjG1k9NDddd9m3MY&","2018/06/18 20:33:33"
